MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LotFrontage,MasVnrType,MasVnrArea,Electrical,GarageYrBlt,SalePrice
60,3,8450,1,1,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,2,4,2,2,4,3,2,706,6,0,150,856,1,0,1,856,854,0,1710,1,0,2,1,3,1,2,8,6,0,3,1,2,2,548,5,5,2,0,61,0,0,0,0,3,4,1,0,2,2008,8,4,36.0,1.0,128.0,4.0,89.0,208500
20,3,9600,1,1,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,3,4,1,2,4,1,0,978,6,0,284,1262,1,0,1,1262,0,0,1262,0,1,2,0,3,1,3,6,6,1,5,1,2,2,460,5,5,2,298,0,0,0,0,0,3,4,1,0,5,2007,8,4,51.0,2.0,0.0,4.0,62.0,181500
60,3,11250,1,1,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,12,13,2,4,2,2,4,2,2,486,6,0,434,920,1,0,1,920,866,0,1786,1,0,2,1,3,1,2,6,6,1,5,1,2,2,608,5,5,2,0,42,0,0,0,0,3,4,1,0,9,2008,8,4,39.0,1.0,104.0,4.0,87.0,223500
70,3,9550,1,1,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,1,13,15,3,4,0,4,1,3,0,216,6,0,540,756,1,2,1,961,756,0,1717,1,0,1,0,3,1,2,7,6,1,2,5,3,3,642,5,5,2,0,35,272,0,0,0,3,4,1,0,2,2006,8,0,31.0,2.0,0.0,4.0,84.0,140000
60,3,14260,1,1,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,12,13,2,4,2,2,4,0,2,655,6,0,490,1145,1,0,1,1145,1053,0,2198,1,0,2,1,4,1,2,9,6,1,5,1,2,3,836,5,5,2,192,84,0,0,0,0,3,4,1,0,12,2008,8,4,55.0,1.0,221.0,4.0,86.0,250000
50,3,14115,1,1,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,1,12,13,3,4,5,2,4,3,2,732,6,0,64,796,1,0,1,796,566,0,1362,1,0,1,1,1,1,3,5,6,0,3,1,3,2,480,5,5,2,40,30,0,320,0,0,3,2,3,700,10,2009,8,4,56.0,2.0,0.0,4.0,79.0,143000
20,3,10084,1,1,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,12,13,2,4,2,0,4,0,2,1369,6,0,317,1686,1,0,1,1694,0,0,1694,1,0,2,0,3,1,2,7,6,1,2,1,2,2,636,5,5,2,255,57,0,0,0,0,3,4,1,0,8,2007,8,4,46.0,3.0,123.0,4.0,90.0,307000
60,3,10382,1,1,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,1,6,6,3,4,1,2,4,2,0,859,1,32,216,1107,1,0,1,1107,983,0,2090,1,0,2,1,3,1,3,7,6,2,5,1,2,2,484,5,5,2,235,204,228,0,0,0,3,4,3,350,11,2009,8,4,20.0,3.0,157.0,4.0,59.0,200000
50,4,6120,1,1,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,15,3,4,0,4,4,3,6,0,6,0,952,952,1,2,1,1022,752,0,1774,0,0,2,0,2,2,3,8,2,2,5,5,3,2,468,1,5,2,90,0,205,0,0,0,3,4,1,0,4,2008,8,0,22.0,2.0,0.0,1.0,19.0,129900
190,3,7420,1,1,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,3,4,0,4,4,3,2,851,6,0,140,991,1,0,1,1077,0,0,1077,1,0,1,0,2,2,3,5,6,2,5,1,2,1,205,2,5,2,0,4,0,0,0,0,3,4,1,0,1,2008,8,4,21.0,2.0,0.0,4.0,27.0,118000
20,3,11200,1,1,3,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,1,6,6,3,4,1,4,4,3,5,906,6,0,134,1040,1,0,1,1040,0,0,1040,1,0,1,0,3,1,3,5,6,0,3,5,3,1,384,5,5,2,0,0,0,0,0,0,3,4,1,0,2,2008,8,4,41.0,2.0,0.0,4.0,51.0,129500
60,3,11924,1,1,0,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,1,14,15,0,4,2,0,4,3,2,998,6,0,177,1175,1,0,1,1182,1142,0,2324,1,0,3,0,4,1,0,11,6,2,2,3,0,3,736,5,5,2,147,21,0,0,0,0,3,4,1,0,7,2006,6,5,56.0,3.0,186.0,4.0,91.0,345000
20,3,12968,1,1,1,3,0,4,0,19,2,2,0,2,5,6,1962,1962,3,1,6,10,3,4,1,4,4,3,0,737,6,0,175,912,1,4,1,912,0,0,912,1,0,1,0,2,1,3,4,6,0,3,5,3,1,352,5,5,2,140,0,0,0,176,0,3,4,1,0,9,2008,8,4,22.4,2.0,0.0,4.0,48.0,144000
20,3,10652,1,1,0,3,0,4,0,5,2,2,0,2,7,5,2006,2007,1,1,12,13,2,4,2,2,4,0,6,0,6,0,1494,1494,1,0,1,1494,0,0,1494,0,0,2,0,3,1,2,7,6,1,2,1,2,3,840,5,5,2,160,33,0,0,0,0,3,4,1,0,8,2007,6,5,62.0,3.0,203.0,4.0,92.0,279500
20,3,10920,1,1,0,3,0,0,0,12,2,2,0,2,6,5,1960,1960,3,1,8,8,3,4,1,4,4,3,1,733,6,0,520,1253,1,4,1,1253,0,0,1253,1,0,1,1,2,1,3,5,6,1,1,1,2,1,352,5,5,2,0,213,176,0,0,0,3,1,1,0,5,2008,8,4,55.0,1.0,139.0,4.0,46.0,157000
45,4,6120,1,1,3,3,0,0,0,3,2,2,0,1,7,8,1929,2001,1,1,13,14,3,4,0,4,4,3,6,0,6,0,832,832,1,0,1,854,0,0,854,0,0,1,0,2,1,3,5,6,0,3,5,3,2,576,5,5,2,48,112,0,0,0,0,3,0,1,0,7,2007,8,4,22.0,2.0,0.0,0.0,77.0,132000
20,3,11241,1,1,0,3,0,1,0,12,2,2,0,2,6,7,1970,1970,1,1,13,14,3,4,1,4,4,3,0,578,6,0,426,1004,1,0,1,1004,0,0,1004,1,0,1,0,2,1,3,5,6,1,5,1,0,2,480,5,5,2,0,0,0,0,0,0,3,4,3,700,3,2010,8,4,54.0,1.0,119.0,4.0,56.0,149000
90,3,10791,1,1,3,3,0,4,0,19,2,2,2,2,4,5,1967,1967,1,1,8,8,3,4,3,3,2,4,4,0,4,0,0,0,1,4,1,1296,0,0,1296,0,0,2,0,2,2,3,6,6,0,3,4,3,2,516,5,5,2,0,0,0,0,0,0,3,4,3,500,10,2006,8,4,43.0,2.0,0.0,4.0,53.0,90000
20,3,13695,1,1,3,3,0,4,0,20,5,2,0,2,5,5,2004,2004,1,1,12,13,3,4,2,4,4,3,2,646,6,0,468,1114,1,0,1,1114,0,0,1114,1,0,1,1,3,1,2,6,6,0,3,5,3,2,576,5,5,2,0,102,0,0,0,0,3,4,1,0,6,2008,8,4,37.0,2.0,0.0,4.0,90.0,159000
20,3,7560,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,1,3,10,3,4,1,4,4,3,3,504,6,0,525,1029,1,4,1,1339,0,0,1339,0,0,1,0,3,1,3,6,2,0,3,1,3,1,294,5,5,2,0,0,0,0,0,0,3,2,1,0,5,2009,0,0,41.0,2.0,0.0,4.0,44.0,139000
60,3,14215,1,1,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,1,12,13,2,4,2,0,4,0,6,0,6,0,1158,1158,1,0,1,1158,1218,0,2376,0,0,3,1,4,1,2,9,6,1,2,3,2,3,853,5,5,2,240,154,0,0,0,0,3,4,1,0,11,2006,6,5,72.0,1.0,234.0,4.0,91.0,325300
45,4,7449,1,0,3,0,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,13,14,3,4,2,4,4,3,6,0,6,0,637,637,1,0,1,1108,0,0,1108,0,0,1,0,3,1,2,6,6,1,2,1,3,1,280,5,5,0,0,0,205,0,0,0,3,0,1,0,6,2007,8,4,28.0,2.0,0.0,1.0,18.0,139400
20,3,9742,1,1,3,3,0,4,0,5,2,2,0,2,8,5,2002,2002,3,1,12,13,2,4,2,2,4,3,6,0,6,0,1777,1777,1,0,1,1795,0,0,1795,0,0,2,0,3,1,2,7,6,1,2,1,2,2,534,5,5,2,171,159,0,0,0,0,3,4,1,0,9,2008,8,4,46.0,1.0,183.0,4.0,88.0,230000
120,4,4224,1,1,3,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,1,5,5,3,4,2,2,4,3,2,840,6,0,200,1040,1,4,1,1060,0,0,1060,1,0,1,0,3,1,3,6,6,1,5,1,3,2,572,5,5,2,100,110,0,0,0,0,3,4,1,0,6,2007,8,4,15.0,2.0,0.0,4.0,62.0,129900
20,3,8246,1,1,0,3,0,4,0,19,2,2,0,2,5,8,1968,2001,1,1,9,10,3,2,1,4,4,2,5,188,0,668,204,1060,1,0,1,1060,0,0,1060,1,0,1,0,3,1,2,6,6,1,5,1,3,1,270,5,5,2,406,90,0,0,0,0,3,2,1,0,5,2010,8,4,37.4,2.0,0.0,4.0,54.0,154000
20,3,14230,1,1,3,3,0,0,0,16,2,2,0,2,8,5,2007,2007,1,1,12,13,2,4,2,2,4,3,6,0,6,0,1566,1566,1,0,1,1600,0,0,1600,0,0,2,0,3,1,2,7,6,1,2,1,2,3,890,5,5,2,0,56,0,0,0,0,3,4,1,0,7,2009,8,4,81.0,3.0,296.0,4.0,93.0,256300
20,3,7200,1,1,3,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,1,13,14,3,4,1,4,4,2,1,234,5,486,180,900,1,4,1,900,0,0,900,0,1,1,0,3,1,2,5,6,0,3,5,3,2,576,5,5,2,222,32,0,0,0,0,3,4,1,0,5,2010,8,4,31.0,2.0,0.0,4.0,91.0,134800
20,3,11478,1,1,3,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,1,12,13,2,4,2,0,4,3,2,1218,6,0,486,1704,1,0,1,1704,0,0,1704,1,0,2,0,3,1,2,7,6,1,2,1,2,3,772,5,5,2,0,50,0,0,0,0,3,4,1,0,5,2010,8,4,69.0,3.0,129.0,4.0,94.0,306000
20,3,16321,1,1,0,3,0,1,0,12,2,2,0,2,5,6,1957,1997,1,1,8,8,3,4,1,4,4,1,1,1277,6,0,207,1484,1,4,1,1600,0,0,1600,1,0,1,0,2,1,3,6,6,2,2,1,2,1,319,5,5,2,288,258,0,0,0,0,3,4,1,0,12,2006,8,4,18.0,2.0,0.0,4.0,43.0,207500
30,4,6324,1,1,0,3,0,4,0,3,1,7,0,2,4,6,1927,1950,1,1,8,8,3,4,0,4,4,3,6,0,6,0,520,520,1,1,0,520,0,0,520,0,0,1,0,1,1,1,4,6,0,3,5,3,1,240,1,5,2,49,0,87,0,0,0,3,4,1,0,5,2008,8,4,31.0,2.0,0.0,4.0,8.0,68500
70,0,8500,1,2,3,3,0,4,0,9,1,2,0,5,4,4,1920,1950,2,1,3,3,3,1,0,4,4,3,6,0,6,0,649,649,1,4,0,649,668,0,1317,0,0,1,0,3,1,3,6,6,0,3,5,3,1,250,5,1,0,0,54,172,0,0,0,3,2,1,0,7,2008,8,4,21.0,2.0,0.0,4.0,8.0,40000
20,3,8544,1,1,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,1,6,6,3,4,1,4,4,3,6,0,6,0,1228,1228,1,2,1,1228,0,0,1228,0,0,1,1,3,1,2,6,6,0,3,1,3,1,271,5,5,2,0,65,0,0,0,0,3,2,1,0,6,2008,8,4,34.8,2.0,0.0,4.0,52.0,149350
20,3,11049,1,1,3,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,1,12,13,2,4,2,0,4,0,6,0,6,0,1234,1234,1,0,1,1234,0,0,1234,0,0,2,0,3,1,2,7,6,0,3,1,2,2,484,5,5,2,0,30,0,0,0,0,3,4,1,0,1,2008,8,4,56.0,2.0,0.0,4.0,93.0,179900
20,3,10552,1,1,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,1,3,3,3,4,1,4,4,3,5,1018,6,0,380,1398,1,2,1,1700,0,0,1700,0,1,1,1,4,1,2,6,6,1,2,1,2,2,447,5,5,2,0,38,0,0,0,0,3,4,1,0,4,2010,8,4,41.0,2.0,0.0,4.0,45.0,165500
120,3,7313,1,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,0,4,2,0,4,3,2,1153,6,0,408,1561,1,0,1,1561,0,0,1561,1,0,2,0,2,1,0,6,6,1,2,1,0,2,556,5,5,2,203,47,0,0,0,0,3,4,1,0,8,2007,8,4,31.0,1.0,161.0,4.0,91.0,277500
